Capacity [A.h],Voltage [V]
0.0069286023257971886,0.47277777777777774
0.007251956858237896,0.4686458333333333
0.007579938713952404,0.4645138888888889
0.007912594476651798,0.46038194444444447
0.008249973649866614,0.45625000000000004
0.00859212898436936,0.4521180555555555
0.008939116824321825,0.4479861111111111
0.009290997472242301,0.44385416666666666
0.009647835572780839,0.43972222222222224
0.010009700515170058,0.4355902777777778
0.010376666854082646,0.4314583333333334
0.010748814748474859,0.42732638888888885
0.011126230417826117,0.42319444444444443
0.01150900661499876,0.4190625
0.01189724311473801,0.4149305555555556
0.012291047216610352,0.41079861111111116
0.012690534260940254,0.40666666666666673
0.013095828156050331,0.4025347222222222
0.013507061914842288,0.3984027777777778
0.013924378198477418,0.39427083333333335
0.014347929864631617,0.3901388888888889
0.014777880517517277,0.3860069444444445
0.015214405056592077,0.38187499999999996
0.015657690220624784,0.37774305555555554
0.01610793512357684,0.3736111111111111
0.016565351778605603,0.3694791666666667
0.017030165606428255,0.36534722222222227
0.01750261592433669,0.36121527777777784
0.01798295641236712,0.3570833333333333
0.018471455553555928,0.3529513888888889
0.01896839704592297,0.34881944444444446
0.019474080184897997,0.34468750000000004
0.019988820216448662,0.3405555555555556
0.020512948663307724,0.3364236111111111
0.02104681362958962,0.33229166666666665
0.02159078009292873,0.3281597222222222
0.022145230198299982,0.3240277777777778
0.022710563574192412,0.3198958333333334
0.02328719770015522,0.31576388888888896
0.023875568365363586,0.3116319444444444
0.024476130271294354,0.3075
0.025089357848514147,0.30336805555555557
0.02571574637876025,0.29923611111111115
0.026355813539910893,0.2951041666666667
0.027010101524270747,0.2909722222222222
0.027679179921271953,0.28684027777777776
0.028363649605938568,0.28270833333333334
0.02906414793636867,0.2785763888888889
0.02978135563956264,0.2744444444444445
0.030516005858166537,0.27031250000000007
0.03126889594466891,0.26618055555555553
0.03204090272848632,0.2620486111111111
0.032833002150078616,0.2579166666666667
0.03364629436034454,0.25378472222222226
0.034482035629364145,0.24965277777777783
0.03534167870315261,0.2455208333333333
0.036226923599230625,0.24138888888888888
0.03713978125768214,0.23725694444444445
0.0380826530188504,0.23312500000000003
0.039058429836709714,0.2289930555555556
0.04007061772852588,0.22486111111111118
0.04112350659387973,0.22072916666666664
0.04222245029679839,0.21659722222222222
0.04337457780042547,0.2124652777777778
0.044591515289212035,0.20833333333333337
0.045902003876006056,0.20420138888888895
0.04741360691940382,0.20006944444444452
0.04961222017853683,0.1959375000000001
0.054665342778674304,0.19180555555555556
0.06946487434451033,0.18767361111111103
0.09673002853615999,0.18354166666666671
0.11625405074193203,0.17940972222222218
0.12386520953843295,0.17527777777777787
0.1275823265861451,0.17114583333333333
0.13067077676441916,0.16701388888888902
0.13392919426246697,0.16288194444444448
0.13756721471586297,0.15874999999999995
0.14167392202931528,0.15461805555555563
0.14631273883736132,0.1504861111111111
0.1515365206399933,0.14635416666666679
0.15738542535624978,0.14222222222222225
0.16388051661050018,0.13809027777777771
0.17101647987457372,0.1339583333333334
0.17875596764858703,0.12982638888888887
0.18703265453181384,0.12569444444444455
0.1958012183891826,0.12156250000000002
0.20538180816069884,0.11743055555555548
0.21869260199391385,0.11329861111111117
